"country","HdiTier","Hdi2021","WorldBankIncomeGroup2022","GniPerCapita2020"
"India","Medium",0.633,"Lower-Middle Income",1920
"China","High",0.768,"Upper-Middle Income",10550
"Indonesia","High",0.705,"Lower-Middle Income",3870
"Pakistan","Low",0.544,"Lower-Middle Income",1270
"Nigeria","Low",0.535,"Lower-Middle Income",2000
"Brazil","High",0.754,"Upper-Middle Income",7850
"Bangladesh","Medium",0.661,"Lower-Middle Income",2030
"Ethiopia","Low",0.498,"Low-Income",890
"Mexico","High",0.758,"Upper-Middle Income",8480
"Philippines","Medium",0.699,"Lower-Middle Income",3430
"Egypt","High",0.731,"Lower-Middle Income",3000
"DR Congo","Low",0.479,"Low-Income",550
"Vietnam","High",0.703,"Lower-Middle Income",2650
"Iran","High",0.774,"Lower-Middle Income",2960
"Tanzania","Low",0.549,"Lower-Middle Income",1080
"South Africa","High",0.713,"Upper-Middle Income",6010
"Kenya","Medium",0.575,"Lower-Middle Income",1840
"Myanmar","Medium",0.585,"Lower-Middle Income",1350
"Colombia","High",0.752,"Upper-Middle Income",5790
"Uganda","Low",0.525,"Low-Income",800
"Sudan","Low",0.508,"Low-Income",650
"Iraq","Medium",0.686,"Upper-Middle Income",4680
"Algeria","High",0.745,"Lower-Middle Income",3570
"Afghanistan","Low",0.478,"Low-Income",500
"Morocco","Medium",0.683,"Lower-Middle Income",2980
"Ukraine","High",0.773,"Lower-Middle Income",3540
"Angola","Medium",0.586,"Lower-Middle Income",2140
"Uzbekistan","High",0.727,"Lower-Middle Income",1740
"Yemen","Low",0.455,"Low-Income",910
"Mozambique","Low",0.446,"Low-Income",460
"Ghana","Medium",0.632,"Lower-Middle Income",2340
"Peru","High",0.762,"Upper-Middle Income",6030
"Nepal","Medium",0.602,"Lower-Middle Income",1190
"Madagascar","Low",0.501,"Low-Income",470
"Ivory Coast","Medium",0.55,"Lower-Middle Income",2280
"Venezuela","Medium",0.691,"not rated",13080
"Cameroon","Medium",0.576,"Lower-Middle Income",1520
"Niger","Low",0.4,,
"Syria","Medium",0.577,"Low-Income",1170
"Mali","Low",0.428,"Low-Income",830
"Burkina Faso","Low",0.449,"Low-Income",770
"Sri Lanka","High",0.782,"Lower-Middle Income",3720
"Malawi","Low",0.512,"Low-Income",580
"Zambia","Medium",0.565,"Lower-Middle Income",1160
"Chad","Low",0.394,"Low-Income",630
"Ecuador","High",0.74,"Upper-Middle Income",5530
"Guatemala","Medium",0.627,"Upper-Middle Income",4490
"Senegal","Low",0.511,"Lower-Middle Income",1430
"Cambodia","Medium",0.593,"Lower-Middle Income",1500
"Zimbabwe","Medium",0.593,"Lower-Middle Income",1140
"Guinea","Low",0.465,"Low-Income",1020
"Rwanda","Low",0.534,"Low-Income",780
"Benin","Low",0.525,"Lower-Middle Income",1280
