Entity,Code,Year,"Employment to population ratio, 15+, female (%) (national estimate)"
Afghanistan,AFG,2008,42.83
Afghanistan,AFG,2012,15.48
Afghanistan,AFG,2014,23.18
Afghanistan,AFG,2017,18.2
Afghanistan,AFG,2020,13.73
Albania,ALB,2002,43.67
Albania,ALB,2004,39
Albania,ALB,2005,39.61
Albania,ALB,2007,30.69
Albania,ALB,2008,39.39
Albania,ALB,2009,38.91
Albania,ALB,2010,39.44
Albania,ALB,2011,45.27
Albania,ALB,2012,43.23
Albania,ALB,2013,38.04
Albania,ALB,2014,37.16
Albania,ALB,2015,38.98
Albania,ALB,2016,42.54
Albania,ALB,2017,43.37
Albania,ALB,2018,45.22
Albania,ALB,2019,46.89
Algeria,DZA,1975,2.5
Algeria,DZA,1984,4.77
Algeria,DZA,2009,11.42
Algeria,DZA,2010,11.45
Algeria,DZA,2014,12.35
Algeria,DZA,2015,13.6
Algeria,DZA,2016,13.85
Algeria,DZA,2017,13.46
American Samoa,ASM,1990,40.33
Angola,AGO,2004,46.3
Angola,AGO,2009,59.21
Angola,AGO,2010,67.43
Angola,AGO,2011,69.13
Angola,AGO,2014,33.65
Antigua and Barbuda,ATG,1991,59.38
Antigua and Barbuda,ATG,2001,60.47
Argentina,ARG,1990,31.9
Argentina,ARG,1991,32
Argentina,ARG,1992,33.1
Argentina,ARG,1993,33.3
Argentina,ARG,1994,31.1
Argentina,ARG,1995,31.5
Argentina,ARG,1996,31.7
Argentina,ARG,1997,33.6
Argentina,ARG,1998,35
Argentina,ARG,1999,35.8
Argentina,ARG,2000,37.2
Argentina,ARG,2001,35.5
Argentina,ARG,2002,37.6
Argentina,ARG,2003,41.2
Argentina,ARG,2004,42.39
Argentina,ARG,2005,42.79
Argentina,ARG,2006,43.92
Argentina,ARG,2007,43.4
Argentina,ARG,2008,43.73
Argentina,ARG,2009,44.3
Argentina,ARG,2010,43.64
Argentina,ARG,2011,44.15
Argentina,ARG,2012,44.13
Argentina,ARG,2013,43.9
Argentina,ARG,2014,43.72
Argentina,ARG,2017,43.47
Argentina,ARG,2018,44.32
Argentina,ARG,2019,44.92
Argentina,ARG,2020,41.02
Argentina,ARG,2021,45.52
Armenia,ARM,2000,29.73
Armenia,ARM,2007,38.23
Armenia,ARM,2008,36.04
Armenia,ARM,2009,37.4
Armenia,ARM,2010,41.13
Armenia,ARM,2011,41.14
Armenia,ARM,2012,40.68
Armenia,ARM,2013,42.02
Armenia,ARM,2014,44.47
Armenia,ARM,2015,43.75
Armenia,ARM,2016,43.21
Armenia,ARM,2017,43.54
Armenia,ARM,2018,56.15
Armenia,ARM,2019,59.45
Armenia,ARM,2020,56.61
Aruba,ABW,1991,47.68
Aruba,ABW,2000,51.93
Aruba,ABW,2007,55.61
Aruba,ABW,2010,53.31
Aruba,ABW,2011,53.4
Australia,AUS,1979,40.01
Australia,AUS,1980,41.25
Australia,AUS,1981,41.42
Australia,AUS,1982,40.84
Australia,AUS,1983,40.03
Australia,AUS,1984,41.01
Australia,AUS,1985,42.22
Australia,AUS,1986,44.09
Australia,AUS,1987,44.72
Australia,AUS,1988,45.92
Australia,AUS,1989,47.72
Australia,AUS,1990,48.49
Australia,AUS,1991,47.22
Australia,AUS,1992,46.78
Australia,AUS,1993,46.53
Australia,AUS,1994,47.67
Australia,AUS,1995,49.26
Australia,AUS,1996,49.36
Australia,AUS,1997,49.26
Australia,AUS,1998,49.71
Australia,AUS,1999,50.06
Australia,AUS,2000,51.2
Australia,AUS,2001,51.5
Australia,AUS,2002,51.84
Australia,AUS,2003,52.57
Australia,AUS,2004,52.61
Australia,AUS,2005,54
Australia,AUS,2006,54.69
Australia,AUS,2007,55.29
Australia,AUS,2008,55.87
Australia,AUS,2009,55.57
Australia,AUS,2010,55.46
Australia,AUS,2011,55.74
Australia,AUS,2012,55.64
Australia,AUS,2013,55.39
Australia,AUS,2014,55.03
Australia,AUS,2015,55.52
Australia,AUS,2016,55.91
Australia,AUS,2017,56.46
Australia,AUS,2018,57.28
Australia,AUS,2019,57.85
Australia,AUS,2020,56.38
Australia,AUS,2021,58.17
Austria,AUT,1980,37.34
Austria,AUT,1982,37.71
Austria,AUT,1983,37.13
Austria,AUT,1984,39.14
Austria,AUT,1985,38.7
Austria,AUT,1986,39.31
Austria,AUT,1987,39.77
Austria,AUT,1988,40.11
Austria,AUT,1989,40.62
Austria,AUT,1990,41.42
Austria,AUT,1991,41.93
Austria,AUT,1992,43.04
Austria,AUT,1993,43.26
Austria,AUT,1994,46.72
Austria,AUT,1995,46.96
Austria,AUT,1996,46.27
Austria,AUT,1997,46.13
Austria,AUT,1998,46.58
Austria,AUT,1999,47.15
Austria,AUT,2000,47.13
Austria,AUT,2001,47.33
Austria,AUT,2002,48.33
Austria,AUT,2003,48.6
Austria,AUT,2004,47.49
Austria,AUT,2005,48.41
Austria,AUT,2006,49.19
Austria,AUT,2007,50.15
Austria,AUT,2008,51.11
Austria,AUT,2009,51.39
Austria,AUT,2010,51.73
Austria,AUT,2011,52.07
Austria,AUT,2012,52.44
Austria,AUT,2013,52.42
Austria,AUT,2014,52.4
Austria,AUT,2015,52.48
Austria,AUT,2016,52.87
Austria,AUT,2017,53.16
Austria,AUT,2018,53.41
Austria,AUT,2019,53.67
Austria,AUT,2020,53.1
Austria,AUT,2021,52.5
Azerbaijan,AZE,1997,44.12
Azerbaijan,AZE,1998,43.64
Azerbaijan,AZE,1999,43.29
Azerbaijan,AZE,2000,63.4
Azerbaijan,AZE,2001,62.5
Azerbaijan,AZE,2002,61.7
Azerbaijan,AZE,2003,60.8
Azerbaijan,AZE,2004,60.2
Azerbaijan,AZE,2005,59.4
Azerbaijan,AZE,2006,58.6
Azerbaijan,AZE,2007,58.64
Azerbaijan,AZE,2008,58.47
Azerbaijan,AZE,2009,57.71
Azerbaijan,AZE,2010,57.68
Azerbaijan,AZE,2011,57.52
Azerbaijan,AZE,2012,57.6
Azerbaijan,AZE,2013,57.8
Azerbaijan,AZE,2014,58.3
Azerbaijan,AZE,2015,58.7
Azerbaijan,AZE,2016,59
Azerbaijan,AZE,2017,59.2
Azerbaijan,AZE,2018,59.4
Azerbaijan,AZE,2019,59.7
Azerbaijan,AZE,2020,58.6
Azerbaijan,AZE,2021,59.7
Bahamas,BHS,1979,26.59
Bahamas,BHS,1989,41.19
Bahamas,BHS,1991,60.1
Bahamas,BHS,1992,58.8
Bahamas,BHS,1993,60.2
Bahamas,BHS,1994,61.04
Bahamas,BHS,1995,61.3
Bahamas,BHS,1996,58.2
Bahamas,BHS,1997,62.5
Bahamas,BHS,1998,60.26
Bahamas,BHS,1999,63.5
Bahamas,BHS,2001,66.1
Bahamas,BHS,2002,65.1
Bahamas,BHS,2008,69
Bahamas,BHS,2009,59.4
Bahamas,BHS,2011,59.6
Bahamas,BHS,2012,59.42
Bahrain,BHR,1979,8.56
Bahrain,BHR,1990,13.5
Bahrain,BHR,1991,25.79
Bahrain,BHR,1992,14.5
Bahrain,BHR,1993,15.6
Bahrain,BHR,1994,16.2
Bahrain,BHR,1995,16
Bahrain,BHR,1996,15.8
Bahrain,BHR,1997,16.1
Bahrain,BHR,1998,16.9
Bahrain,BHR,1999,18.2
Bahrain,BHR,2000,19.2
Bahrain,BHR,2001,31.78
Bahrain,BHR,2002,21
Bahrain,BHR,2003,21.2
Bahrain,BHR,2004,29.4
Bahrain,BHR,2005,26.39
Bahrain,BHR,2006,40.51
Bahrain,BHR,2007,32
Bahrain,BHR,2009,34.92
Bahrain,BHR,2010,42.08
Bahrain,BHR,2011,40.81
Bahrain,BHR,2015,42.01
Bangladesh,BGD,1984,9.58
Bangladesh,BGD,1985,9.72
Bangladesh,BGD,1986,11.49
Bangladesh,BGD,1989,72.63
Bangladesh,BGD,1991,68.3
Bangladesh,BGD,1996,61.03
Bangladesh,BGD,2000,54.02
Bangladesh,BGD,2003,24.81
Bangladesh,BGD,2006,27.12
Bangladesh,BGD,2010,33.94
Bangladesh,BGD,2013,31.08
Bangladesh,BGD,2016,33.19
Bangladesh,BGD,2017,33.92
Barbados,BRB,1978,27.65
Barbados,BRB,1983,43.79
Barbados,BRB,1986,44.38
Barbados,BRB,1987,44.92
Barbados,BRB,1988,47
Barbados,BRB,1989,49.9
Barbados,BRB,1990,48.13
Barbados,BRB,2009,56
Barbados,BRB,2010,55.42
Barbados,BRB,2011,55.6
Barbados,BRB,2012,53.6
Barbados,BRB,2013,54.83
Barbados,BRB,2014,52.71
Barbados,BRB,2015,55.36
Barbados,BRB,2016,56.52
Barbados,BRB,2017,55.19
Barbados,BRB,2018,54.39
Barbados,BRB,2019,54.74
Belarus,BLR,1997,41.06
Belarus,BLR,2009,52.7
Belarus,BLR,2015,85
Belarus,BLR,2016,64.1
Belarus,BLR,2017,64.42
Belarus,BLR,2018,63.86
Belarus,BLR,2019,64.21
Belarus,BLR,2020,63.51
Belarus,BLR,2021,63.75
Belgium,BEL,1977,24.64
Belgium,BEL,1979,25.43
Belgium,BEL,1980,25.61
Belgium,BEL,1983,29.83
Belgium,BEL,1984,29.48
Belgium,BEL,1985,29.96
Belgium,BEL,1986,30.32
Belgium,BEL,1987,30.12
Belgium,BEL,1988,30.92
Belgium,BEL,1989,31.51
Belgium,BEL,1990,32.38
Belgium,BEL,1991,33.96
Belgium,BEL,1992,35.21
Belgium,BEL,1993,35.3
Belgium,BEL,1994,35.17
Belgium,BEL,1995,35.58
Belgium,BEL,1996,35.52
Belgium,BEL,1997,36.27
Belgium,BEL,1998,36.78
Belgium,BEL,1999,38.76
Belgium,BEL,2000,40.04
Belgium,BEL,2001,38.97
Belgium,BEL,2002,39.25
Belgium,BEL,2003,39.51
Belgium,BEL,2004,40.58
Belgium,BEL,2005,41.35
Belgium,BEL,2006,41.56
Belgium,BEL,2007,42.6
Belgium,BEL,2008,43.35
Belgium,BEL,2009,43.14
Belgium,BEL,2010,43.65
Belgium,BEL,2011,43.66
Belgium,BEL,2012,43.61
Belgium,BEL,2013,43.87
Belgium,BEL,2014,44.26
Belgium,BEL,2015,44.28
Belgium,BEL,2016,44.16
Belgium,BEL,2017,45.28
Belgium,BEL,2018,46.77
Belgium,BEL,2019,47.37
Belgium,BEL,2020,46.69
Belgium,BEL,2021,47.11
Belize,BLZ,1994,29.38
Belize,BLZ,1996,27.66
Belize,BLZ,1997,30.75
Belize,BLZ,1998,31.15
Belize,BLZ,1999,31.55
Belize,BLZ,2005,36.89
Belize,BLZ,2012,41.79
Belize,BLZ,2013,40.68
Belize,BLZ,2014,40.83
Belize,BLZ,2015,42.62
Belize,BLZ,2016,43.73
Belize,BLZ,2017,44.02
Belize,BLZ,2019,49.42
Benin,BEN,2003,75.13
Benin,BEN,2010,73.79
Benin,BEN,2011,67.71
Benin,BEN,2018,55.64
Bermuda,BMU,2000,67.93
Bermuda,BMU,2009,66.73
Bermuda,BMU,2010,66.41
Bhutan,BTN,2005,45.97
Bhutan,BTN,2006,53.7
Bhutan,BTN,2009,62.51
Bhutan,BTN,2010,61.38
Bhutan,BTN,2011,59.95
Bhutan,BTN,2012,61.84
Bhutan,BTN,2013,60
Bhutan,BTN,2014,52.92
Bhutan,BTN,2015,54.18
Bhutan,BTN,2018,53.17
Bhutan,BTN,2019,59.16
Bhutan,BTN,2020,59.73
Bhutan,BTN,2021,61.34
Bolivia,BOL,1980,24.66
Bolivia,BOL,1981,24.03
Bolivia,BOL,1982,24.87
Bolivia,BOL,1985,22.99
Bolivia,BOL,1986,22.3
Bolivia,BOL,1987,22.11
Bolivia,BOL,1989,38.84
Bolivia,BOL,1990,22.21
Bolivia,BOL,1991,43.84
Bolivia,BOL,1993,41
Bolivia,BOL,1994,43.1
