"country","HdiTier","Hdi2021","Hdi2020","Hdi2019","Hdi2010"
"India","Medium",0.633,0.642,0.645,0.575
"China","High",0.768,0.764,0.762,0.691
"United States","Very High",0.921,0.92,0.93,0.911
"Indonesia","High",0.705,0.709,0.716,0.664
"Pakistan","Low",0.544,0.543,0.546,0.505
"Nigeria","Low",0.535,0.535,0.538,0.482
"Brazil","High",0.754,0.758,0.766,0.723
"Bangladesh","Medium",0.661,0.655,0.644,0.553
"Russia","Very High",0.829,0.83,0.845,0.796
"Ethiopia","Low",0.498,0.498,0.498,0.412
"Mexico","High",0.758,0.756,0.779,0.746
"Japan","Very High",0.925,0.923,0.924,0.898
"Philippines","Medium",0.699,0.71,0.718,0.674
"Egypt","High",0.731,0.734,0.735,0.675
"DR Congo","Low",0.479,0.479,0.482,0.429
"Vietnam","High",0.703,0.71,0.703,0.663
"Iran","High",0.774,0.777,0.783,0.745
"Turkey","Very High",0.838,0.833,0.842,0.749
"Germany","Very High",0.942,0.944,0.948,0.926
"Thailand","Very High",0.8,0.802,0.804,0.737
"Tanzania","Low",0.549,0.548,0.548,0.493
"United Kingdom","Very High",0.929,0.924,0.935,0.912
"France","Very High",0.903,0.898,0.905,0.877
"South Africa","High",0.713,0.727,0.736,0.675
"Italy","Very High",0.895,0.889,0.897,0.882
"Kenya","Medium",0.575,0.578,0.581,0.545
"Myanmar","Medium",0.585,0.6,0.598,0.51
"Colombia","High",0.752,0.756,0.768,0.726
"South Korea","Very High",0.925,0.922,0.923,0.89
"Uganda","Low",0.525,0.524,0.525,0.502
"Sudan","Low",0.508,0.51,0.514,0.486
"Spain","Very High",0.905,0.899,0.908,0.868
"Iraq","Medium",0.686,0.679,0.696,0.64
"Algeria","High",0.745,0.736,0.748,0.721
"Argentina","Very High",0.842,0.84,0.852,0.834
"Afghanistan","Low",0.478,0.483,0.488,0.448
"Poland","Very High",0.876,0.876,0.881,0.841
"Canada","Very High",0.936,0.931,0.937,0.911
"Morocco","Medium",0.683,0.679,0.682,0.603
"Ukraine","High",0.773,0.775,0.786,0.764
"Angola","Medium",0.586,0.59,0.595,0.51
"Saudi Arabia","Very High",0.875,0.87,0.873,0.816
"Uzbekistan","High",0.727,0.721,0.726,0.673
"Yemen","Low",0.455,0.46,0.461,0.51
