ISO3,Country,Year,Continent,Hemisphere,HDI_Rank_(2021),Labour_force_participation_rate,Gender
ALB,Albania,1990,Europe,Northern Hemisphere,67.0,51.364,F
ALB,Albania,1990,Europe,Northern Hemisphere,67.0,72.51,M
ALB,Albania,1991,Europe,Northern Hemisphere,67.0,54.727,F
ALB,Albania,1991,Europe,Northern Hemisphere,67.0,75.143,M
ALB,Albania,1992,Europe,Northern Hemisphere,67.0,55.608,F
ALB,Albania,1992,Europe,Northern Hemisphere,67.0,75.858,M
ALB,Albania,1993,Europe,Northern Hemisphere,67.0,54.638,F
ALB,Albania,1993,Europe,Northern Hemisphere,67.0,75.222,M
ALB,Albania,1994,Europe,Northern Hemisphere,67.0,53.825,F
ALB,Albania,1994,Europe,Northern Hemisphere,67.0,74.68,M
ALB,Albania,1995,Europe,Northern Hemisphere,67.0,52.576,F
ALB,Albania,1995,Europe,Northern Hemisphere,67.0,73.768,M
ALB,Albania,1996,Europe,Northern Hemisphere,67.0,51.66,F
ALB,Albania,1996,Europe,Northern Hemisphere,67.0,73.023,M
ALB,Albania,1997,Europe,Northern Hemisphere,67.0,52.615,F
ALB,Albania,1997,Europe,Northern Hemisphere,67.0,73.726,M
ALB,Albania,1998,Europe,Northern Hemisphere,67.0,51.658,F
ALB,Albania,1998,Europe,Northern Hemisphere,67.0,72.917,M
ALB,Albania,1999,Europe,Northern Hemisphere,67.0,50.445,F
ALB,Albania,1999,Europe,Northern Hemisphere,67.0,71.884,M
ALB,Albania,2000,Europe,Northern Hemisphere,67.0,49.782,F
ALB,Albania,2000,Europe,Northern Hemisphere,67.0,71.298,M
ALB,Albania,2001,Europe,Northern Hemisphere,67.0,49.087,F
ALB,Albania,2001,Europe,Northern Hemisphere,67.0,70.702,M
ALB,Albania,2002,Europe,Northern Hemisphere,67.0,48.757,F
ALB,Albania,2002,Europe,Northern Hemisphere,67.0,70.424,M
ALB,Albania,2003,Europe,Northern Hemisphere,67.0,48.186,F
ALB,Albania,2003,Europe,Northern Hemisphere,67.0,68.96,M
ALB,Albania,2004,Europe,Northern Hemisphere,67.0,47.625,F
ALB,Albania,2004,Europe,Northern Hemisphere,67.0,67.465,M
ALB,Albania,2005,Europe,Northern Hemisphere,67.0,47.067,F
ALB,Albania,2005,Europe,Northern Hemisphere,67.0,65.93,M
ALB,Albania,2006,Europe,Northern Hemisphere,67.0,46.511,F
ALB,Albania,2006,Europe,Northern Hemisphere,67.0,64.357,M
ALB,Albania,2007,Europe,Northern Hemisphere,67.0,45.958,F
ALB,Albania,2007,Europe,Northern Hemisphere,67.0,62.75,M
ALB,Albania,2008,Europe,Northern Hemisphere,67.0,45.41,F
ALB,Albania,2008,Europe,Northern Hemisphere,67.0,61.114,M
ALB,Albania,2009,Europe,Northern Hemisphere,67.0,45.839,F
ALB,Albania,2009,Europe,Northern Hemisphere,67.0,64.292,M
ALB,Albania,2010,Europe,Northern Hemisphere,67.0,46.727,F
ALB,Albania,2010,Europe,Northern Hemisphere,67.0,63.788,M
ALB,Albania,2011,Europe,Northern Hemisphere,67.0,52.446,F
ALB,Albania,2011,Europe,Northern Hemisphere,67.0,67.483,M
ALB,Albania,2012,Europe,Northern Hemisphere,67.0,48.778,F
ALB,Albania,2012,Europe,Northern Hemisphere,67.0,65.197,M
ALB,Albania,2013,Europe,Northern Hemisphere,67.0,43.598,F
ALB,Albania,2013,Europe,Northern Hemisphere,67.0,61.18,M
ALB,Albania,2014,Europe,Northern Hemisphere,67.0,43.733,F
ALB,Albania,2014,Europe,Northern Hemisphere,67.0,62.984,M
ALB,Albania,2015,Europe,Northern Hemisphere,67.0,46.898,F
ALB,Albania,2015,Europe,Northern Hemisphere,67.0,63.957,M
ALB,Albania,2016,Europe,Northern Hemisphere,67.0,49.676,F
ALB,Albania,2016,Europe,Northern Hemisphere,67.0,64.8,M
ALB,Albania,2017,Europe,Northern Hemisphere,67.0,49.51,F
ALB,Albania,2017,Europe,Northern Hemisphere,67.0,66.44,M
ALB,Albania,2018,Europe,Northern Hemisphere,67.0,51.189,F
ALB,Albania,2018,Europe,Northern Hemisphere,67.0,67.247,M
ALB,Albania,2019,Europe,Northern Hemisphere,67.0,52.723,F
ALB,Albania,2019,Europe,Northern Hemisphere,67.0,67.742,M
ALB,Albania,2020,Europe,Northern Hemisphere,67.0,49.786,F
ALB,Albania,2020,Europe,Northern Hemisphere,67.0,65.631,M
ALB,Albania,2021,Europe,Northern Hemisphere,67.0,50.733,F
ALB,Albania,2021,Europe,Northern Hemisphere,67.0,66.154,M
DZA,Algeria,1990,Africa,Northern Hemisphere,91.0,10.923,F
DZA,Algeria,1990,Africa,Northern Hemisphere,91.0,76.461,M
DZA,Algeria,1991,Africa,Northern Hemisphere,91.0,11.042,F
DZA,Algeria,1991,Africa,Northern Hemisphere,91.0,76.849,M
DZA,Algeria,1992,Africa,Northern Hemisphere,91.0,11.163,F
DZA,Algeria,1992,Africa,Northern Hemisphere,91.0,76.943,M
DZA,Algeria,1993,Africa,Northern Hemisphere,91.0,11.313,F
DZA,Algeria,1993,Africa,Northern Hemisphere,91.0,77.423,M
DZA,Algeria,1994,Africa,Northern Hemisphere,91.0,11.475,F
DZA,Algeria,1994,Africa,Northern Hemisphere,91.0,77.774,M
DZA,Algeria,1995,Africa,Northern Hemisphere,91.0,11.647,F
DZA,Algeria,1995,Africa,Northern Hemisphere,91.0,77.656,M
DZA,Algeria,1996,Africa,Northern Hemisphere,91.0,11.824,F
DZA,Algeria,1996,Africa,Northern Hemisphere,91.0,77.486,M
DZA,Algeria,1997,Africa,Northern Hemisphere,91.0,11.963,F
DZA,Algeria,1997,Africa,Northern Hemisphere,91.0,76.782,M
DZA,Algeria,1998,Africa,Northern Hemisphere,91.0,12.105,F
DZA,Algeria,1998,Africa,Northern Hemisphere,91.0,76.079,M
DZA,Algeria,1999,Africa,Northern Hemisphere,91.0,12.25,F
DZA,Algeria,1999,Africa,Northern Hemisphere,91.0,75.382,M
DZA,Algeria,2000,Africa,Northern Hemisphere,91.0,12.4,F
DZA,Algeria,2000,Africa,Northern Hemisphere,91.0,74.69,M
DZA,Algeria,2001,Africa,Northern Hemisphere,91.0,12.557,F
DZA,Algeria,2001,Africa,Northern Hemisphere,91.0,74.019,M
DZA,Algeria,2002,Africa,Northern Hemisphere,91.0,12.718,F
DZA,Algeria,2002,Africa,Northern Hemisphere,91.0,73.349,M
DZA,Algeria,2003,Africa,Northern Hemisphere,91.0,12.882,F
DZA,Algeria,2003,Africa,Northern Hemisphere,91.0,72.68,M
DZA,Algeria,2004,Africa,Northern Hemisphere,91.0,13.05,F
DZA,Algeria,2004,Africa,Northern Hemisphere,91.0,72.011,M
DZA,Algeria,2005,Africa,Northern Hemisphere,91.0,13.221,F
DZA,Algeria,2005,Africa,Northern Hemisphere,91.0,71.338,M
DZA,Algeria,2006,Africa,Northern Hemisphere,91.0,13.396,F
DZA,Algeria,2006,Africa,Northern Hemisphere,91.0,70.662,M
DZA,Algeria,2007,Africa,Northern Hemisphere,91.0,13.574,F
DZA,Algeria,2007,Africa,Northern Hemisphere,91.0,69.985,M
DZA,Algeria,2008,Africa,Northern Hemisphere,91.0,13.756,F
DZA,Algeria,2008,Africa,Northern Hemisphere,91.0,69.305,M
DZA,Algeria,2009,Africa,Northern Hemisphere,91.0,13.94,F
DZA,Algeria,2009,Africa,Northern Hemisphere,91.0,68.61,M
DZA,Algeria,2010,Africa,Northern Hemisphere,91.0,14.178,F
DZA,Algeria,2010,Africa,Northern Hemisphere,91.0,68.948,M
DZA,Algeria,2011,Africa,Northern Hemisphere,91.0,14.375,F
DZA,Algeria,2011,Africa,Northern Hemisphere,91.0,65.655,M
DZA,Algeria,2012,Africa,Northern Hemisphere,91.0,15.823,F
DZA,Algeria,2012,Africa,Northern Hemisphere,91.0,67.9,M
DZA,Algeria,2013,Africa,Northern Hemisphere,91.0,16.602,F
DZA,Algeria,2013,Africa,Northern Hemisphere,91.0,69.51,M
DZA,Algeria,2014,Africa,Northern Hemisphere,91.0,15.619,F
DZA,Algeria,2014,Africa,Northern Hemisphere,91.0,66.397,M
DZA,Algeria,2015,Africa,Northern Hemisphere,91.0,16.3,F
DZA,Algeria,2015,Africa,Northern Hemisphere,91.0,66.832,M
DZA,Algeria,2016,Africa,Northern Hemisphere,91.0,16.945,F
DZA,Algeria,2016,Africa,Northern Hemisphere,91.0,66.51,M
DZA,Algeria,2017,Africa,Northern Hemisphere,91.0,16.819,F
DZA,Algeria,2017,Africa,Northern Hemisphere,91.0,66.574,M
DZA,Algeria,2018,Africa,Northern Hemisphere,91.0,16.692,F
DZA,Algeria,2018,Africa,Northern Hemisphere,91.0,66.626,M
DZA,Algeria,2019,Africa,Northern Hemisphere,91.0,16.6,F
